,score_diff,seconds_remaining,home_efg,away_efg,turnover_diff,home_rebound_rate,required_catchup_rate,home_team_season_off_rtg,home_team_season_def_rtg,home_team_season_win_pct,home_team_recent_off_rtg,home_team_recent_def_rtg,home_team_recent_win_pct,home_rest_days,home_is_home,away_team_season_off_rtg,away_team_season_def_rtg,away_team_season_win_pct,away_team_recent_off_rtg,away_team_recent_def_rtg,away_team_recent_win_pct,away_rest_days,away_is_home,home_roster_season_est_off_rating,home_roster_season_est_def_rating,home_roster_season_pie,home_roster_season_est_usg_pct,home_roster_recent_est_off_rating,home_roster_recent_est_def_rating,home_roster_recent_pie,home_roster_recent_est_usg_pct,away_roster_season_est_off_rating,away_roster_season_est_def_rating,away_roster_season_pie,away_roster_season_est_usg_pct,away_roster_recent_est_off_rating,away_roster_recent_est_def_rating,away_roster_recent_pie,away_roster_recent_est_usg_pct
home_team_recent_off_rtg,0.024105586666994,0.012756147456915895,,,,,0.006656911584538769,0.9947132340583643,0.9309478640325742,0.5151526545677118,1.0,0.9230642156563155,0.5061889984496791,-0.11591681522073502,,0.8325199047767368,0.8315146488215411,0.3183139784235547,0.829140358627241,0.8270038328396128,0.2985870896977585,-0.1145902617119536,,0.5472557479489012,0.5133185293506823,0.4894966160619622,0.5213695530738268,0.5417311878294988,0.5030017134992777,0.479031301851108,0.5193350482107155,0.4156547546184465,0.4358602534717994,0.36327446896780885,0.4233275220138005,0.41969970725292105,0.4349063470452661,0.3563324527696468,0.4289953368126704
home_team_recent_def_rtg,-0.07024147999977978,0.010617679013470594,,,,,0.0011729673845583548,0.927558107883863,0.9955656726640637,0.21787826829558388,0.9230642156563155,1.0,0.1843442592089029,-0.15005889480844994,,0.8364181909626653,0.8327383359860515,0.32320419637673675,0.8337592587308233,0.826074882715473,0.30670830942308963,-0.1352232621560056,,0.4946968917738423,0.5444821824155971,0.3988745512285072,0.5169161372071684,0.4794486786482727,0.5319036168398984,0.3745588130018163,0.5104080319086628,0.4421709143707849,0.45272914203130643,0.3860733079805937,0.43895791465632505,0.4430613515432972,0.44794682507658673,0.3799495253933815,0.4430444401478686
home_team_recent_win_pct,0.19529387853042168,0.00551927831450331,,,,,0.015346873144906657,0.4924895605071518,0.21025675300711058,0.9423472616211518,0.5061889984496791,0.1843442592089029,1.0,0.020569366294532137,,0.28534100566363385,0.29152190346587303,0.0955228937755556,0.280827393931722,0.29299849230839486,0.07628380979854327,0.0080982482852915,,0.32130087074583524,0.143786304291924,0.37518113193872965,0.2331921762223631,0.34021265072109724,0.14378659479738068,0.4038359029879411,0.24231863211755003,0.0935069383597119,0.1298956045064877,0.07932293516864362,0.1301943765420903,0.09746656142036379,0.13364152812943944,0.07107802492033742,0.13139268926633968
home_rest_days,0.04905493135717596,0.005441846189073612,,,,,-0.009479138667846257,-0.10704543480417521,-0.14238889782352876,0.026088470712503656,-0.11591681522073502,-0.15005889480844994,0.020569366294532137,1.0,,-0.10440329047596765,-0.11007093451896563,-0.03898453028941977,-0.10443762102855683,-0.11041531168175443,-0.03287540665687589,0.6054601782471766,,-0.06503445162585089,-0.07845208219951669,-0.03798590770313402,-0.047565053135313326,-0.06852704500556833,-0.07648714903826696,-0.04565149158858921,-0.04966085183901511,-0.053082331496224544,-0.036154246997239695,-0.04463143525084485,-0.034488118750014674,-0.059398887082976484,-0.03650415671245874,-0.06731139306178613,-0.043524082515751565
home_is_home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
away_team_season_off_rtg,-0.03463610408895218,0.025630568187949548,,,,,-0.002271489510449492,0.8379739887935144,0.8414345163569242,0.307805722759045,0.8325199047767368,0.8364181909626653,0.28534100566363385,-0.10440329047596765,,1.0,0.9335749604575201,0.5214349090703668,0.9947333084401515,0.9262505219684367,0.4884494356477468,-0.13199514357125547,,0.4413462327608975,0.4604441316629066,0.3725206047288492,0.45562289120371763,0.43320640798797244,0.44960171804515586,0.3594773191239483,0.4506900730413464,0.5538166602629951,0.5142237816468487,0.49248257167584214,0.5205459087732012,0.5583727472780253,0.5132525217191362,0.4889498232451281,0.526514471274208
away_team_season_def_rtg,0.035775377567721894,0.02481827391905522,,,,,-0.003524363084266795,0.8320329822940182,0.8385468191816906,0.30491502432535716,0.8315146488215411,0.8327383359860515,0.29152190346587303,-0.11007093451896563,,0.9335749604575201,1.0,0.22703824140276643,0.9291579284590008,0.9954482503812291,0.20910007648806012,-0.16238669799062633,,0.46283497978721866,0.4734520469044603,0.39522443218339387,0.47396115654271986,0.4559316452093913,0.46288742750045253,0.38541058762972874,0.4711399066574515,0.5032034367868811,0.5498229958843179,0.40361763838170567,0.517442183089376,0.5008411287885722,0.5472808479665046,0.3860233818913075,0.5179763561185761
away_team_season_win_pct,-0.15240129059144839,0.022482780166732677,,,,,0.0054107631379748024,0.3308353007168838,0.3240178283561393,0.12446829641100252,0.3183139784235547,0.32320419637673675,0.0955228937755556,-0.03898453028941977,,0.5214349090703668,0.22703824140276643,1.0,0.5141331494962744,0.217156113896473,0.9442872135783592,0.008330368108704387,,0.09595845757494656,0.12653512492637933,0.06627100908136847,0.10600317325177457,0.08887815158003702,0.12327024321412212,0.05196983609732971,0.10046763379343844,0.308570471458236,0.11325725833389162,0.37479148728934225,0.20461989072916664,0.32569810952379624,0.11519266781161829,0.4066308994305706,0.2248724099915211
away_team_recent_off_rtg,-0.03927659196781163,0.024000030325693374,,,,,-0.004103268876179172,0.8331983777369808,0.8378274123689892,0.3034401313619203,0.829140358627241,0.8337592587308233,0.280827393931722,-0.10443762102855683,,0.9947333084401515,0.9291579284590008,0.5141331494962744,1.0,0.9218422818898316,0.5015252976934802,-0.13123430056377008,,0.44313104517045804,0.4561795382948831,0.3764056577922074,0.4518338858041239,0.43602350268954426,0.4454170651717353,0.36427555039857956,0.4472365638587022,0.5594516697846078,0.5186296598133181,0.4971486639449104,0.5247193781467221,0.5637220949765009,0.5171906316988667,0.4938218101426733,0.529643844111927
away_team_recent_def_rtg,0.03492210022899086,0.024360117975415287,,,,,-0.0031038578931962477,0.8259691357686005,0.8317099585579196,0.3039858716829545,0.8270038328396128,0.826074882715473,0.29299849230839486,-0.11041531168175443,,0.9262505219684367,0.9954482503812291,0.217156113896473,0.9218422818898316,1.0,0.18267476236852784,-0.16561196140884235,,0.4619157262956681,0.46852212474233146,0.394776838048955,0.46958732127188796,0.4552404737934317,0.45800084589466117,0.38564478237350974,0.46656480176039994,0.49769183681838847,0.5457907151640247,0.3955446738654751,0.5112953689764729,0.4959641218966256,0.5441376962736528,0.37737323495890845,0.5122697644500549
